review_bucket,image_path,thumbnail,compound_reasons,caption_text,width,height,is_compound,notes
aspect_only,images/relevant/04383-8869991__cancers-14-00987-g006.jpg,aspect_only__04383-8869991__cancers-14-00987-g006.jpg,wide_aspect_3.86,A 28 year old woman with high-grade serous carcinoma. None of the CNNs or the three radiologists could diagnose malignant tumors on the T2WI and the ADC map (CNN confidence value: malignant = 0.0% on,768,199,1,
aspect_only,images/relevant/10246-13048165__ca9-83-288-g006.jpg,aspect_only__10246-13048165__ca9-83-288-g006.jpg,wide_aspect_2.48,"A, Ultrasound before operation and moderate hydronephrosis. B, Ultrasound follow-up 6 months after operation, total resolution of hydronephrosis without double-J stenting.",800,323,1,
aspect_only,images/relevant/05429-10251706__jmc-14-169-g001.jpg,aspect_only__05429-10251706__jmc-14-169-g001.jpg,wide_aspect_3.25,Coronal images showing duodenal intussusception and the migrating percutaneous gastrostomy tube (arrows).,708,218,1,
aspect_only,images/relevant/02924-6159147__bjrcr.20170056.g004.jpg,aspect_only__02924-6159147__bjrcr.20170056.g004.jpg,wide_aspect_2.66,MRI September 2016. Consecutive slice pre-gadolinium T1 FATSAT through the liver demonstrates high signal rim around the high T2 SPAIR signal lesions.,767,288,1,
aspect_only,images/relevant/03168-6375059__13244_2019_696_Fig15_HTML.jpg,aspect_only__03168-6375059__13244_2019_696_Fig15_HTML.jpg,wide_aspect_3.08,"FIGO IB2 cervical cancer, with post-biopsy cervical edema. Biopsy was performed 2 days before MRI. a Axial oblique T2WI shows cervical cancer with apparent parametrial invasion (arrows). b DWI (b = 10",709,230,1,
aspect_only,images/relevant/04877-9594919__12885_2022_10167_Fig1_HTML.jpg,aspect_only__04877-9594919__12885_2022_10167_Fig1_HTML.jpg,wide_aspect_1.85,"Pathological features of ovarian strumal carcinoid synchronous adenocarcinoma (yellow star, struma ovarii; red star, carcinoid component; blue star, adenocarcinoma component; case 17, HE staining, 200",708,382,0,
aspect_only,images/relevant/09166-12527559__TurkPatolojiDerg-41-13496-g004.jpg,aspect_only__09166-12527559__TurkPatolojiDerg-41-13496-g004.jpg,wide_aspect_1.87,Tumor cells positive for HER2 (Score 3+).,682,364,0,
aspect_only,images/relevant/02540-5865407__amjcaserep-19-284-g002.jpg,aspect_only__02540-5865407__amjcaserep-19-284-g002.jpg,wide_aspect_2.08,Photomicrograph of the immunohistochemical staining of metastatic carcinoid tumor of the ovary shows positive staining for synaptophysin. High power light microscopy of a tissue section of metastatic,623,300,0,
aspect_only,images/relevant/03957-7925504__12282_2020_1203_Fig1_HTML.jpg,aspect_only__03957-7925504__12282_2020_1203_Fig1_HTML.jpg,wide_aspect_1.96,"A case with no malignant findings on mammography. a Mammography: the breast composition is extremely dense, SMC 1. b Ultrasound: irregular, not parallel, hypoechoic mass, SUC 4. The overall assessment",708,361,1,
aspect_only,images/relevant/06854-11172746__jcm-13-03107-g002.jpg,aspect_only__06854-11172746__jcm-13-03107-g002.jpg,wide_aspect_2.74,Frequent LUS findings in various respiratory conditions of the newborn (adapted from [21]).,770,281,1,
aspect_only,images/relevant/03773-7433065__12957_2020_1971_Fig4_HTML.jpg,aspect_only__03773-7433065__12957_2020_1971_Fig4_HTML.jpg,wide_aspect_3.14,Computed axial tomography with evidence of metastasis (white arrow),709,226,1,
aspect_only,images/relevant/02385-5704806__medi-96-e8552-g003.jpg,aspect_only__02385-5704806__medi-96-e8552-g003.jpg,wide_aspect_2.68,"P53 was positively expressed in the stroma of malignant phyllodes tumors of younger sister (A, 200 × magnification) and negative for borderline phyllodes tumors of elder sister (B, 200 × magnification",800,298,1,
aspect_only,images/relevant/03590-7170574__rb-53-02-0095-g01.jpg,aspect_only__03590-7170574__rb-53-02-0095-g01.jpg,wide_aspect_2.00,"A: Pre-NAC contrast-enhanced sagittal DCE-MRI sequence showing a nodule with a mildly irregular form and ill-defined margins, with heterogeneous internal enhancement (invasive ductal carcinoma proven ",771,386,1,
aspect_only,images/relevant/03161-6375059__13244_2019_696_Fig6_HTML.jpg,aspect_only__03161-6375059__13244_2019_696_Fig6_HTML.jpg,wide_aspect_3.28,Endometrial cancer with endometrial cavity distension. a Axial oblique T2WI. b DCE and parametric map. Disruption of the endometrial–myometrial zone (arrows) indicates myometrial invasion,709,216,1,
aspect_only,images/relevant/04422-8915058__sensors-22-01868-g017.jpg,aspect_only__04422-8915058__sensors-22-01868-g017.jpg,wide_aspect_2.08,"The output of our proposed post-processing step. The row shows output of Kmeans cluster 2, 4, 6 and 8.",727,349,1,
aspect_only,images/relevant/04199-8512626__gr2.jpg,aspect_only__04199-8512626__gr2.jpg,wide_aspect_2.01,"Pulmonary perfusion-ventilation scintigraphy.Pulmonary ventilation scintigraphy (81mKr) showed no abnormalities, whereas pulmonary perfusion scintigraphy (99mTc-MAA) showed multiple small wedge-shaped",688,342,1,
aspect_only,images/relevant/07513-11537575__medi-103-e37260-g004.jpg,aspect_only__07513-11537575__medi-103-e37260-g004.jpg,wide_aspect_2.85,"Postoperative pathology, consistent with a borderline lobular tumor.",800,281,1,
aspect_only,images/relevant/02960-6172480__gr16.jpg,aspect_only__02960-6172480__gr16.jpg,wide_aspect_3.35,"An example of OA/US images of breast carcinoma in situ. Optoacoustic functional images demonstrate radially oriented vessels extending in to the peripheral zone, upgrading BIRADS 3 to BIRADS 5. Biopsy",714,213,1,
aspect_only,images/relevant/07665-11625450__cureus-0016-00000073284-i01.jpg,aspect_only__07665-11625450__cureus-0016-00000073284-i01.jpg,wide_aspect_2.20,"Ultrasound showing Liver With Dilated Biliary DuctsThis part of the ultrasound shows a transverse section of the liver and biliary tree. The dilated bile ducts can be visualized, which is suggestive o",750,341,1,
aspect_only,images/relevant/01350-4429498__13256_2014_3152_Fig2_HTML.jpg,aspect_only__01350-4429498__13256_2014_3152_Fig2_HTML.jpg,wide_aspect_3.28,Tumor response after NKTR-102 discontinuation. A: Partial response at the 12th cycle of pegylated irinotecan NKTR-102. B: Abdominal computed tomography scan four months after the last course of pegyla,600,183,1,
aspect_only,images/relevant/08119-11930741__gr1.jpg,aspect_only__08119-11930741__gr1.jpg,wide_aspect_2.66,Thickening facial hair and clitoromegaly found on physical examination.,800,301,1,
